stid,scid,group,gender,ethnicity,Spe.ed,year,scale,sp,stand
301373,OrangeGrove,C,Female,Hispanic,No,0,1208,no,Notapproach
301373,OrangeGrove,C,Female,Hispanic,No,1,1387,no,Notapproach
301373,OrangeGrove,C,Female,Hispanic,No,2,1402,no,Notapproach
303664,Goodman,T,Female,Afamerican,No,0,1360,no,Approaches
303664,Goodman,T,Female,Afamerican,No,1,1387,no,Notapproach
305313,OrangeGrove,C,Male,Afamerican,Yes,0,1345,no,Notapproach
306726,OrangeGrove,C,Female,Hispanic,No,0,1405,no,Approaches
307368,Goodman,T,Female,Afamerican,No,0,1454,no,Approaches
307368,Goodman,T,Female,Afamerican,No,1,1533,no,Approaches
307369,Goodman,T,Female,Afamerican,No,0,1265,no,Notapproach
307490,Goodman,T,Male,Hispanic,No,0,1375,no,Approaches
307490,Goodman,T,Male,Hispanic,No,1,1474,no,Approaches
307490,Goodman,T,Male,Hispanic,No,2,1548,no,Approaches
307580,Goodman,T,Male,Afamerican,Yes,2,1500,no,Approaches
308814,OrangeGrove,C,Female,Hispanic,No,0,1486,no,Meets
308814,OrangeGrove,C,Female,Hispanic,No,1,1589,no,Meets
308814,OrangeGrove,C,Female,Hispanic,No,2,1611,no,Approaches
309845,OrangeGrove,C,Female,Afamerican,No,0,1345,no,Notapproach
310390,OrangeGrove,C,Female,Hispanic,No,2,1724,no,Masters
310545,OrangeGrove,C,Female,Hispanic,No,0,1675,no,Masters
310545,OrangeGrove,C,Female,Hispanic,No,1,1733,no,Masters
310545,OrangeGrove,C,Female,Hispanic,No,2,1809,no,Masters
311511,OrangeGrove,C,Female,Hispanic,No,2,1688,no,Meets
311673,OrangeGrove,C,Female,Hispanic,No,2,1770,no,Masters
311746,OrangeGrove,C,Female,Hispanic,No,0,1345,no,Notapproach
312181,Goodman,T,Male,Afamerican,No,0,1375,no,Approaches
312672,OrangeGrove,C,Female,Hispanic,No,0,1625,no,Masters
313025,Goodman,T,Female,Afamerican,Yes,1,1337,no,Notapproach
315841,OrangeGrove,C,Female,Hispanic,No,1,1474,no,Approaches
316267,OrangeGrove,C,Male,Hispanic,No,1,1446,no,Notapproach
316267,OrangeGrove,C,Male,Hispanic,No,2,1578,no,Approaches
316456,Goodman,T,Male,Hispanic,No,1,1371,no,Notapproach
316456,Goodman,T,Male,Hispanic,No,2,1447,no,Notapproach
316908,OrangeGrove,C,Male,Hispanic,No,1,1670,no,Masters
316908,OrangeGrove,C,Male,Hispanic,No,2,1809,no,Masters
319862,Goodman,T,Female,Afamerican,No,1,1533,no,Approaches
319930,OrangeGrove,C,Male,Hispanic,No,2,1533,no,Approaches
321576,OrangeGrove,C,Female,Hispanic,No,1,1621,no,Meets
321576,OrangeGrove,C,Female,Hispanic,No,2,1739,no,Masters
322157,Goodman,T,Male,Hispanic,No,1,1533,no,Approaches
322157,Goodman,T,Male,Hispanic,No,2,1625,no,Meets
323139,Goodman,T,Male,Afamerican,No,1,1355,no,Notapproach
324135,OrangeGrove,C,Male,Hispanic,No,1,1488,no,Approaches
324135,OrangeGrove,C,Male,Hispanic,No,2,1476,no,Notapproach
324815,Goodman,T,Female,Hispanic,No,1,1601,no,Meets
325054,Goodman,T,Female,Hispanic,No,2,1943,no,Masters
327988,OrangeGrove,C,Female,Hispanic,No,2,1500,no,Approaches
330064,OrangeGrove,C,Female,Hispanic,No,2,1594,no,Approaches
332429,OrangeGrove,C,Female,Hispanic,No,2,1563,no,Approaches
333033,OrangeGrove,C,Male,Hispanic,No,2,1724,no,Masters
333870,OrangeGrove,C,Female,Hispanic,No,2,1667,no,Meets
336347,OrangeGrove,C,Female,Hispanic,No,2,1724,no,Masters
337104,OrangeGrove,C,Male,Hispanic,No,2,1402,no,Notapproach
901197,Goodman,T,Male,Hispanic,Yes,0,1228,no,Notapproach
901197,Goodman,T,Male,Hispanic,Yes,1,1387,no,Notapproach
910054,Goodman,T,Male,Hispanic,Yes,0,1314,no,Notapproach
