subid,computer,time,Achieve
2,1,0,70.5
2,1,1,76
2,1,2,74.67
2,1,3,80.17
3,0,0,42.5
3,0,1,98.5
3,0,2,60.5
3,0,3,55.5
4,0,0,45
4,0,1,61
4,0,2,73
4,0,3,85.5
6,1,0,57.67
6,1,1,57.17
6,1,2,52.83
6,1,3,59.33
7,0,0,50
7,0,1,71
7,0,2,43
7,0,3,50.5
11,1,0,61.67
11,1,1,66.17
11,1,2,67.33
11,1,3,66.5
14,1,0,91.33
14,1,1,99.33
14,1,2,96
14,1,3,94.33
15,1,0,78.5
15,1,1,78.5
15,1,2,84
15,1,3,88.67
16,1,0,66.33
16,1,1,58.5
16,1,2,69.67
16,1,3,89.33
18,1,0,49.33
18,1,1,49.5
18,1,2,62
18,1,3,71.67
30,0,0,55
30,0,1,63.5
30,0,2,61.5
30,0,3,42
32,0,0,64
32,0,1,68.5
32,0,2,68.5
32,0,3,78.5
33,0,0,47.5
33,0,1,48.5
33,0,2,73
33,0,3,65.5
35,0,0,35
35,0,1,41
35,0,2,38
35,0,3,35.5
53,1,0,46
53,1,1,49.33
53,1,2,53.67
53,1,3,66.67
62,1,0,43.83
62,1,1,47.5
62,1,2,58.17
62,1,3,67
65,1,0,73.5
65,1,1,70.17
65,1,2,63.67
65,1,3,74.67
78,1,0,62.17
78,1,1,67.67
78,1,2,95.67
78,1,3,90.33
79,1,0,47.83
79,1,1,60.5
79,1,2,95.17
79,1,3,106.83
83,1,0,38.83
83,1,1,38.33
83,1,2,55.33
83,1,3,50
92,0,0,51.5
92,0,1,53.5
92,0,2,61
92,0,3,53.5
103,0,0,41.5
103,0,1,29
103,0,2,46
103,0,3,23.5
106,1,0,82.33
106,1,1,96
106,1,2,85.67
106,1,3,97.67
108,0,0,42.5
108,0,1,48.5
108,0,2,36.5
108,0,3,41.5
110,0,0,40
110,0,1,38.5
110,0,2,49
110,0,3,34.5
112,1,0,69.83
112,1,1,64.67
112,1,2,54
112,1,3,67
114,1,0,64.83
114,1,1,71.83
114,1,2,80.67
114,1,3,76.33
118,0,0,39
118,0,1,16.5
118,0,2,28.5
118,0,3,41
120,1,0,50.5
120,1,1,77.67
120,1,2,76.5
120,1,3,74.5
126,0,0,63
126,0,1,68.5
126,0,2,64.5
126,0,3,73.5
127,1,0,47.83
127,1,1,46.33
127,1,2,69.83
127,1,3,52.33
138,1,0,50.67
138,1,1,50.5
138,1,2,60.17
138,1,3,73.83
140,0,0,41.5
140,0,1,33.5
140,0,2,36
140,0,3,43.5
141,0,0,49
141,0,1,53.5
141,0,2,52
141,0,3,63.5
151,1,0,56
151,1,1,52.67
151,1,2,60.33
151,1,3,55.83
152,1,0,58
152,1,1,65.5
152,1,2,62.67
152,1,3,62.5
158,1,0,54.67
158,1,1,57.83
158,1,2,47.5
158,1,3,72
165,1,0,49.17
165,1,1,67.17
165,1,2,68.33
165,1,3,74.5
166,1,0,59.83
166,1,1,84.33
166,1,2,72.17
166,1,3,88.5
169,1,0,36
169,1,1,41
169,1,2,50.33
169,1,3,53.33
170,0,0,82.5
170,0,1,73.5
170,0,2,61.5
170,0,3,66.5
188,1,0,54.33
188,1,1,64.33
188,1,2,70.67
188,1,3,78
189,0,0,17
189,0,1,11.5
189,0,2,54.5
189,0,3,29
190,0,0,72.5
190,0,1,68.5
190,0,2,69
190,0,3,71.5
216,0,0,67.5
216,0,1,63.5
216,0,2,51.5
216,0,3,66.5
222,1,0,55
222,1,1,46
222,1,2,44.83
222,1,3,41.17
223,0,0,57.5
223,0,1,91
223,0,2,63
223,0,3,65.5
225,0,0,102.5
225,0,1,78.5
225,0,2,37
225,0,3,66.5
228,0,0,64
228,0,1,58.5
228,0,2,72
228,0,3,68.5
229,0,0,58
229,0,1,41
229,0,2,43.5
229,0,3,58.5
232,0,0,71
232,0,1,73.5
232,0,2,72
232,0,3,53.5
233,0,0,16.5
233,0,1,13.5
233,0,2,12
233,0,3,4.5
235,1,0,64.33
235,1,1,48.67
235,1,2,48.17
235,1,3,52
237,0,0,36.5
237,0,1,25
237,0,2,16
237,0,3,23
241,0,0,7
241,0,1,14
241,0,2,21.5
241,0,3,14
251,1,0,76.33
251,1,1,74.33
251,1,2,85.5
251,1,3,93.5
255,0,0,54
255,0,1,61
255,0,2,69.5
255,0,3,66
259,1,0,54.83
259,1,1,62
259,1,2,60.5
259,1,3,56.83
260,0,0,35.5
260,0,1,51
260,0,2,25.5
260,0,3,32.5
268,1,0,58
268,1,1,76.83
268,1,2,86.83
268,1,3,88.5
270,0,0,39.5
270,0,1,76
270,0,2,58
270,0,3,90.5
276,1,0,43
276,1,1,26
276,1,2,56
276,1,3,87.5
277,1,0,60.67
277,1,1,72
277,1,2,74
277,1,3,68.67
285,0,0,65.5
285,0,1,63.5
285,0,2,70
285,0,3,78
287,1,0,47
287,1,1,67
287,1,2,72.83
287,1,3,64.83
288,1,0,49.17
288,1,1,56.5
288,1,2,40.25
288,1,3,47
289,0,0,60
289,0,1,73.5
289,0,2,61.5
289,0,3,51.5
291,0,0,39
291,0,1,28.5
291,0,2,36
291,0,3,43.5
292,1,0,48.5
292,1,1,55.17
292,1,2,55.67
292,1,3,56.17
294,1,0,49.33
294,1,1,56
294,1,2,59
294,1,3,56.17
295,1,0,85.5
295,1,1,72.67
295,1,2,70.17
295,1,3,68.67
296,0,0,62.5
296,0,1,73.5
296,0,2,49
296,0,3,71.5
308,0,0,44
308,0,1,36
308,0,2,49.5
308,0,3,70
309,0,0,32.5
309,0,1,33.5
309,0,2,51.5
309,0,3,31.5
312,0,0,49
312,0,1,38.5
312,0,2,57
312,0,3,51
314,0,0,40
314,0,1,34
314,0,2,36.5
314,0,3,26.5
316,1,0,58
316,1,1,56.83
316,1,2,44
316,1,3,49.17
320,0,0,46.5
320,0,1,78.5
320,0,2,61
320,0,3,36
