id,var,grade,d_math,d_hyp,grp
201,38,3,1,0,math
201,55,5,1,0,math
303,26,2,1,0,math
303,33,5,1,0,math
2702,56,2,1,0,math
2702,58,4,1,0,math
2702,80,8,1,0,math
4303,41,3,1,0,math
4303,58,4,1,0,math
5002,46,4,1,0,math
5002,54,6,1,0,math
5002,66,8,1,0,math
5005,35,2,1,0,math
5005,50,4,1,0,math
5005,60,6,1,0,math
5005,59,8,1,0,math
5701,62,3,1,0,math
5701,61,4,1,0,math
6102,55,4,1,0,math
6102,67,5,1,0,math
6102,81,7,1,0,math
6801,54,3,1,0,math
6801,62,5,1,0,math
6801,66,7,1,0,math
6802,55,3,1,0,math
6802,66,5,1,0,math
6802,68,7,1,0,math
6803,57,3,1,0,math
6803,70,5,1,0,math
9603,35,2,1,0,math
9603,59,4,1,0,math
12401,34,3,1,0,math
12401,50,4,1,0,math
12801,48,4,1,0,math
13702,54,3,1,0,math
13702,64,6,1,0,math
13702,63,7,1,0,math
13801,66,3,1,0,math
13801,65,5,1,0,math
13803,58,3,1,0,math
13803,60,5,1,0,math
17201,46,3,1,0,math
17201,65,5,1,0,math
18601,27,4,1,0,math
22104,24,2,1,0,math
22104,41,4,1,0,math
22901,32,3,1,0,math
22901,49,5,1,0,math
23602,57,4,1,0,math
23701,48,4,1,0,math
23701,49,6,1,0,math
24402,44,4,1,0,math
24402,59,5,1,0,math
26201,39,2,1,0,math
26201,68,5,1,0,math
26201,71,8,1,0,math
28503,14,2,1,0,math
28503,48,4,1,0,math
29201,52,2,1,0,math
29201,67,4,1,0,math
29201,65,7,1,0,math
29201,75,8,1,0,math
29202,44,2,1,0,math
29202,64,5,1,0,math
29202,73,6,1,0,math
34401,52,2,1,0,math
34401,67,4,1,0,math
34401,79,8,1,0,math
35401,44,3,1,0,math
35401,64,5,1,0,math
35401,69,7,1,0,math
35402,53,3,1,0,math
35402,45,5,1,0,math
35402,61,7,1,0,math
36901,62,3,1,0,math
36901,65,5,1,0,math
36901,74,7,1,0,math
36902,48,2,1,0,math
36902,62,4,1,0,math
36902,65,6,1,0,math
36902,72,8,1,0,math
37403,37,2,1,0,math
37403,45,6,1,0,math
38202,27,2,1,0,math
