stid,scid,group,gender,ethnicity,LEP,Spe.ed,year,scale,sp,stand
300365,Carmichael,T,Female,Afamerican,None,No,0,1345,no,Notapproach
300365,Carmichael,T,Female,Afamerican,None,No,1,1431,no,Notapproach
300365,Carmichael,T,Female,Afamerican,None,No,2,1578,no,Approaches
300437,Johnson,C,Female,Hispanic,LEP,No,0,1298,no,Notapproach
300437,Johnson,C,Female,Hispanic,LEP,No,1,1387,no,Notapproach
300437,Johnson,C,Female,Hispanic,LEP,No,2,1462,no,Notapproach
300475,Johnson,C,Female,Hispanic,firstyear,No,0,1511,no,Meets
300530,Johnson,C,Female,Hispanic,LEP,No,1,1431,no,Notapproach
300942,Carmichael,T,Male,Hispanic,LEP,No,0,1486,no,Meets
300942,Carmichael,T,Male,Hispanic,LEP,No,1,1862,no,Masters
300942,Carmichael,T,Male,Hispanic,LEP,No,2,1724,no,Masters
301373,OrangeGrove,C,Female,Hispanic,LEP,No,0,1208,no,Notapproach
301373,OrangeGrove,C,Female,Hispanic,LEP,No,1,1387,no,Notapproach
301373,OrangeGrove,C,Female,Hispanic,LEP,No,2,1402,no,Notapproach
301986,Carroll,T,Female,Hispanic,None,No,2,1368,no,Notapproach
302723,Carroll,T,Male,Hispanic,LEP,No,2,1667,no,Meets
302852,Harris,C,Male,Afamerican,None,No,0,1437,no,Approaches
302858,Carmichael,T,Male,Hispanic,LEP,No,1,1474,no,Approaches
302858,Carmichael,T,Male,Hispanic,LEP,No,2,1563,no,Approaches
302867,Harris,C,Male,Hispanic,firstyear,No,0,1625,no,Masters
302867,Harris,C,Male,Hispanic,firstyear,No,1,1782,no,Masters
302867,Harris,C,Male,Hispanic,firstyear,No,2,1724,no,Masters
302906,Carmichael,T,Female,Hispanic,LEP,No,0,1208,no,Notapproach
302906,Carmichael,T,Female,Hispanic,LEP,No,1,1371,no,Notapproach
302906,Carmichael,T,Female,Hispanic,LEP,No,2,1368,no,Notapproach
302933,Carmichael,T,Female,Hispanic,LEP,No,0,1390,no,Approaches
302933,Carmichael,T,Female,Hispanic,LEP,No,1,1431,no,Notapproach
302933,Carmichael,T,Female,Hispanic,LEP,No,2,1476,no,Notapproach
302981,Harris,C,Female,Afamerican,None,Yes,0,1092,no,Notapproach
303175,Black,T,Male,Hispanic,LEP,No,0,1675,no,Masters
303664,Goodman,T,Female,Afamerican,None,No,0,1360,no,Approaches
303664,Goodman,T,Female,Afamerican,None,No,1,1387,no,Notapproach
303790,Carmichael,T,Female,Hispanic,LEP,No,0,1208,no,Notapproach
303790,Carmichael,T,Female,Hispanic,LEP,No,1,1417,no,Notapproach
