id,order,time,task_dif,cal,score,class,extr,intr,iden,amot,inten,time_on_task,length_writing,time.
1,s2c,1,simple,com_MLTU,15.84,1,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,29,431,"(Time1,Time3)"
1,s2c,1,simple,com_DC/T,-0.7081850579244856,1,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,29,431,"(Time1,Time3)"
1,s2c,1,simple,com_CN/T,1.65,1,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,29,431,"(Time1,Time3)"
1,s2c,1,simple,com_CN/C,0.5405,1,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,29,431,"(Time1,Time3)"
1,s2c,1,simple,ac_EFC/C,0.2006706954621514,1,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,29,431,"(Time1,Time3)"
1,s2c,1,simple,lex_Vocd,63.22,1,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,29,431,"(Time1,Time3)"
1,s2c,1,simple,lex_WRDFRQmc,1.98,1,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,29,431,"(Time1,Time3)"
1,s2c,2,complex,com_MLTU,16.73,1,2,5,5,2,5,35,396,"(Time2,Time4)"
1,s2c,2,complex,com_DC/T,1.7346010553881064,1,2,5,5,2,5,35,396,"(Time2,Time4)"
1,s2c,2,complex,com_CN/T,1.93,1,2,5,5,2,5,35,396,"(Time2,Time4)"
1,s2c,2,complex,com_CN/C,0.9636,1,2,5,5,2,5,35,396,"(Time2,Time4)"
1,s2c,2,complex,ac_EFC/C,0.3639653772014115,1,2,5,5,2,5,35,396,"(Time2,Time4)"
1,s2c,2,complex,lex_Vocd,63.78,1,2,5,5,2,5,35,396,"(Time2,Time4)"
1,s2c,2,complex,lex_WRDFRQmc,1.72,1,2,5,5,2,5,35,396,"(Time2,Time4)"
1,s2c,3,simple,com_MLTU,14.87,1,4,1.6666666666666667,2,4,1.6666666666666667,31,490,"(Time1,Time3)"
1,s2c,3,simple,com_DC/T,1.1526795099383855,1,4,1.6666666666666667,2,4,1.6666666666666667,31,490,"(Time1,Time3)"
1,s2c,3,simple,com_CN/T,1.83,1,4,1.6666666666666667,2,4,1.6666666666666667,31,490,"(Time1,Time3)"
1,s2c,3,simple,com_CN/C,0.9918,1,4,1.6666666666666667,2,4,1.6666666666666667,31,490,"(Time1,Time3)"
1,s2c,3,simple,ac_EFC/C,0.6190392084062236,1,4,1.6666666666666667,2,4,1.6666666666666667,31,490,"(Time1,Time3)"
1,s2c,3,simple,lex_Vocd,58.93,1,4,1.6666666666666667,2,4,1.6666666666666667,31,490,"(Time1,Time3)"
1,s2c,3,simple,lex_WRDFRQmc,1.68,1,4,1.6666666666666667,2,4,1.6666666666666667,31,490,"(Time1,Time3)"
1,s2c,4,complex,com_MLTU,17.65,1,2,4,4,2,3.3333333333333335,34,354,"(Time2,Time4)"
1,s2c,4,complex,com_DC/T,0.3639653772014115,1,2,4,4,2,3.3333333333333335,34,354,"(Time2,Time4)"
1,s2c,4,complex,com_CN/T,1.89,1,2,4,4,2,3.3333333333333335,34,354,"(Time2,Time4)"
1,s2c,4,complex,com_CN/C,1.1633,1,2,4,4,2,3.3333333333333335,34,354,"(Time2,Time4)"
1,s2c,4,complex,ac_EFC/C,0.12014431184206341,1,2,4,4,2,3.3333333333333335,34,354,"(Time2,Time4)"
1,s2c,4,complex,lex_Vocd,85.92,1,2,4,4,2,3.3333333333333335,34,354,"(Time2,Time4)"
1,s2c,4,complex,lex_WRDFRQmc,1.92,1,2,4,4,2,3.3333333333333335,34,354,"(Time2,Time4)"
2,s2c,1,simple,com_MLTU,14.69,1,4,3.6666666666666665,3.3333333333333335,4,3.6666666666666665,34,309,"(Time1,Time3)"
2,s2c,1,simple,com_DC/T,0.32277339226305085,1,4,3.6666666666666665,3.3333333333333335,4,3.6666666666666665,34,309,"(Time1,Time3)"
2,s2c,1,simple,com_CN/T,1.5714,1,4,3.6666666666666665,3.3333333333333335,4,3.6666666666666665,34,309,"(Time1,Time3)"
2,s2c,1,simple,com_CN/C,0.8421,1,4,3.6666666666666665,3.3333333333333335,4,3.6666666666666665,34,309,"(Time1,Time3)"
