cds,stype,name,sname,snum,dname,dnum,cname,cnum,flag,pcttest,api00,api99,target,growth,sch.wide,comp.imp,both,meals,ell,yr.rnd,mobility,acs.k3,acs.46,acs.core,pct.resp,not.hsg,hsg,some.col,col.grad,grad.sch,avg.ed,full,emer,enroll,api.stu,awards,ID_unit,Prob,Stratum
1611436097729,E,Whittier/Arts (,Whittier/Arts (Elem),33,Berkeley Unified,60,Alameda,1,NA,100,731,689,6,42,Yes,Yes,Yes,42,4,NA,11,16,22,NA,91,5,20,22,24,30,3.5299999713897705,87,10,313,290,Yes,11,0.10033444816053512,1
1611436105316,E,Muir (John) Ele,Muir (John) Elementary,34,Berkeley Unified,60,Alameda,1,NA,100,687,620,9,67,Yes,Yes,Yes,61,12,NA,15,19,24,NA,86,13,38,17,13,19,2.880000114440918,100,0,169,137,Yes,12,0.10033444816053512,1
19644516012900,E,Williams Elemen,Williams Elementary,1283,Downey Unified,187,Los Angeles,18,NA,100,705,652,7,53,Yes,Yes,Yes,61,25,NA,17,24,NA,NA,98,17,39,24,16,4,2.5399999618530273,79,15,320,275,Yes,37,0.10033444816053512,1
19644856013007,E,Evergreen Eleme,Evergreen Elementary,1302,East Whittier City Elem,197,Los Angeles,18,NA,99,550,464,17,86,Yes,Yes,Yes,84,67,NA,15,18,30,NA,91,40,45,13,3,0,1.7999999523162842,63,22,375,297,Yes,40,0.10033444816053512,1
19644856013031,E,La Colima Eleme,La Colima Elementary,1305,East Whittier City Elem,197,Los Angeles,18,NA,100,628,560,12,68,Yes,Yes,Yes,53,29,NA,17,18,27,NA,98,13,32,40,12,4,2.609999895095825,79,24,370,310,Yes,41,0.10033444816053512,1
7617136003750,E,Lafayette Eleme,Lafayette Elementary,380,Lafayette Elementary,352,Contra Costa,6,NA,99,879,853,NA,26,Yes,Yes,Yes,0,1,NA,10,20,22,NA,99,1,15,10,45,28,3.8499999046325684,96,4,285,254,Yes,57,0.10033444816053512,1
33671246109508,E,Ridge Crest Ele,Ridge Crest Elementary,3473,Moreno Valley Unified,463,Riverside,32,NA,99,695,653,7,42,Yes,Yes,Yes,33,9,NA,21,19,33,NA,88,3,18,39,24,16,3.309999942779541,90,10,437,357,Yes,91,0.10033444816053512,1
37683386039218,E,Bayview Terrace,Bayview Terrace Elementary,4483,San Diego City Unified,630,San Diego,36,NA,99,693,637,8,56,Yes,Yes,Yes,76,33,NA,20,19,30,NA,72,25,24,40,8,3,2.380000114440918,100,0,216,182,Yes,150,0.10033444816053512,1
37683386039366,E,Central Element,Central Elementary,4493,San Diego City Unified,630,San Diego,36,NA,100,736,611,9,125,Yes,Yes,Yes,100,74,No,18,19,26,NA,73,58,23,13,4,2,1.7100000381469727,82,11,508,483,Yes,160,0.10033444816053512,1
37683386039481,E,Dewey Elementar,Dewey Elementary,4501,San Diego City Unified,630,San Diego,36,NA,100,789,735,3,54,Yes,Yes,Yes,79,20,NA,10,18,24,NA,91,12,30,40,13,5,2.700000047683716,100,0,171,157,Yes,168,0.10033444816053512,1
37683386039523,E,Euclid Elementa,Euclid Elementary,4504,San Diego City Unified,630,San Diego,36,NA,97,545,496,15,49,Yes,Yes,Yes,100,78,NA,18,19,30,NA,90,58,22,14,4,3,1.7200000286102295,87,13,539,495,Yes,171,0.10033444816053512,1
37683386039572,E,Florence Elemen,Florence Elementary,4507,San Diego City Unified,630,San Diego,36,NA,99,751,679,6,72,Yes,Yes,Yes,71,19,NA,20,17,20,NA,40,10,16,41,16,18,3.1600000858306885,100,0,130,106,Yes,174,0.10033444816053512,1
37683386039606,E,Franklin Elemen,Franklin Elementary,4509,San Diego City Unified,630,San Diego,36,NA,98,693,643,8,50,Yes,Yes,Yes,83,45,NA,18,18,26,NA,77,34,23,23,14,6,2.3499999046325684,88,6,340,317,Yes,176,0.10033444816053512,1
37683386039960,E,Marvin Elementa,Marvin Elementary,4536,San Diego City Unified,630,San Diego,36,NA,100,761,726,4,35,Yes,Yes,Yes,52,16,NA,18,19,27,NA,77,10,30,20,27,14,3.049999952316284,100,0,262,237,Yes,202,0.10033444816053512,1
37683386112726,E,Dingeman (Rober,Dingeman (Robert E.) Elementary,4596,San Diego City Unified,630,San Diego,36,NA,99,883,864,NA,19,Yes,Yes,Yes,4,3,NA,9,20,30,NA,93,1,10,9,52,28,3.9800000190734863,97,3,556,526,Yes,245,0.10033444816053512,1
34674476034474,E,Creekside Eleme,Creekside Elementary,3822,San Juan Unified,636,Sacramento,33,NA,96,622,588,11,34,Yes,Yes,Yes,76,6,NA,38,20,35,NA,49,7,59,29,6,0,2.3399999141693115,95,5,222,148,Yes,255,0.10033444816053512,1
34674476034557,E,Fair Oaks Eleme,Fair Oaks Elementary,3829,San Juan Unified,636,Sacramento,33,NA,98,771,721,4,50,Yes,Yes,Yes,30,3,NA,20,20,32,NA,64,4,24,32,27,13,3.2300000190734863,87,13,223,192,Yes,262,0.10033444816053512,1
34674476034649,E,Kenneth Avenue ,Kenneth Avenue Elementary,3837,San Juan Unified,636,Sacramento,33,NA,95,713,564,12,149,Yes,Yes,Yes,74,3,NA,43,20,44,NA,89,21,43,20,13,3,2.3299999237060547,71,21,313,188,Yes,270,0.10033444816053512,1
34674476034797,E,Orangevale Open,Orangevale Open Elem.,3849,San Juan Unified,636,Sacramento,33,NA,100,830,802,NA,28,Yes,Yes,Yes,9,1,NA,22,19,38,NA,91,0,6,26,45,23,3.8499999046325684,91,4,389,343,Yes,282,0.10033444816053512,1
1751196002711,E,Sunol Glen Elem,Sunol Glen Elementary,279,Sunol Glen Unified,726,Alameda,1,NA,100,856,833,NA,23,Yes,Yes,Yes,1,0,NA,9,16,21,NA,91,1,9,19,38,33,3.930000066757202,92,15,151,131,Yes,301,0.10033444816053512,1
23656156025225,E,Oak Manor Eleme,Oak Manor Elementary,2645,Ukiah Unified,760,Mendocino,22,NA,100,627,574,11,53,Yes,Yes,Yes,58,18,NA,99,19,30,NA,96,18,22,37,15,8,2.7200000286102295,97,8,421,384,Yes,305,0.10033444816053512,1
23656156025274,E,Yokayo Elementa,Yokayo Elementary,2648,Ukiah Unified,760,Mendocino,22,NA,100,640,587,11,53,Yes,Yes,Yes,51,16,NA,98,20,28,NA,98,23,27,35,8,6,2.4700000286102295,100,0,474,426,Yes,307,0.10033444816053512,1
16638911632207,H,Corcoran High,Corcoran High,1052,Corcoran Joint Unified,155,Kings,15,NA,98,505,487,16,18,Yes,Yes,Yes,47,5,NA,8,NA,NA,25,76,27,38,28,6,0,2.140000104904175,80,20,598,564,Yes,315,0.10033444816053512,1
37683383730173,H,Serra Senior Hi,Serra Senior High,4460,San Diego City Unified,630,San Diego,36,NA,100,708,665,7,43,Yes,Yes,Yes,50,4,NA,12,NA,NA,NA,82,9,16,30,29,16,3.2799999713897705,99,3,1306,1263,Yes,334,0.10033444816053512,1
37683383730314,H,University City,University City High,4462,San Diego City Unified,630,San Diego,36,NA,100,728,707,5,21,Yes,Yes,Yes,34,7,NA,8,NA,NA,29,94,6,12,21,38,23,3.609999895095825,93,3,1093,1083,Yes,336,0.10033444816053512,1
54719106110290,M,Wilson Middle,Wilson Middle,5875,Exeter Union Elementary,226,Tulare,53,NA,97,622,584,11,38,Yes,Yes,Yes,50,9,NA,9,NA,30,25,76,38,26,18,10,7,2.2100000381469727,97,6,659,579,Yes,378,0.10033444816053512,1
33671246106058,M,Vista Heights (,Vista Heights (Middle),3461,Moreno Valley Unified,463,Riverside,32,NA,98,663,613,9,50,Yes,Yes,Yes,34,6,NA,14,NA,31,32,98,8,17,34,31,10,3.180000066757202,86,14,1266,1129,Yes,385,0.10033444816053512,1
33671246110027,M,Palm Middle,Palm Middle,3475,Moreno Valley Unified,463,Riverside,32,NA,98,630,576,11,54,Yes,Yes,Yes,40,10,NA,11,NA,33,30,95,7,25,35,25,8,3.0199999809265137,84,14,1367,1140,Yes,390,0.10033444816053512,1
37683386059638,M,Lewis Middle,Lewis Middle,4563,San Diego City Unified,630,San Diego,36,NA,98,726,662,7,64,Yes,Yes,Yes,54,14,NA,16,NA,29,27,96,13,18,29,23,16,3.109999895095825,93,7,899,800,Yes,406,0.10033444816053512,1
34674476034888,M,Salk (Jonas) Al,Salk (Jonas) Altern. Middle,3857,San Juan Unified,636,Sacramento,33,NA,97,507,430,19,77,Yes,Yes,Yes,84,27,NA,51,NA,33,23,65,14,26,27,28,5,2.8499999046325684,64,36,585,344,Yes,429,0.10033444816053512,1
30664496027452,E,Laurel Elementa,Laurel Elementary,2870,Brea-Olinda Unified,79,Orange,29,NA,100,711,685,6,26,Yes,No,No,54,43,NA,12,20,28,NA,87,29,18,25,20,9,2.609999895095825,88,17,356,315,No,14,0.22388059701492538,2
19644856013114,E,Scott Avenue El,Scott Avenue Elementary,1311,East Whittier City Elem,197,Los Angeles,18,NA,99,709,716,4,-7,No,No,No,23,13,NA,13,18,30,NA,99,4,20,45,22,9,3.119999885559082,84,13,425,368,No,47,0.22388059701492538,2
9619036005573,E,Tahoe Valley El,Tahoe Valley Elementary,563,Lake Tahoe Unified,359,El Dorado,8,NA,98,677,636,8,41,Yes,No,No,57,11,NA,10,20,33,NA,99,13,31,31,20,6,2.75,100,14,388,358,No,62,0.22388059701492538,2
33671246106041,E,Serrano Element,Serrano Elementary,3460,Moreno Valley Unified,463,Riverside,32,NA,99,523,492,15,31,Yes,No,No,78,25,No,21,20,29,NA,100,29,34,26,7,3,2.2200000286102295,79,21,638,547,No,82,0.22388059701492538,2
36678766036826,E,California Elem,California Elementary,4134,San Bernardino City Unif,627,San Bernardino,35,NA,100,530,504,15,26,Yes,No,No,87,33,No,27,20,29,NA,99,42,22,23,9,4,2.119999885559082,79,17,318,293,No,110,0.22388059701492538,2
36678766036834,E,Cole Elementary,Cole Elementary,4135,San Bernardino City Unif,627,San Bernardino,35,NA,99,487,460,17,27,Yes,No,No,89,14,No,33,19,30,NA,55,27,28,42,0,3,2.25,90,10,444,386,No,111,0.22388059701492538,2
36678766036867,E,Del Rosa Elemen,Del Rosa Elementary,4138,San Bernardino City Unif,627,San Bernardino,35,NA,92,603,572,11,31,Yes,Yes,Yes,73,12,No,23,20,32,NA,84,22,32,29,11,5,2.4600000381469727,89,9,708,610,No,114,0.22388059701492538,2
36678766037022,E,Mt. Vernon Elem,Mt. Vernon Elementary,4147,San Bernardino City Unif,627,San Bernardino,35,NA,99,496,495,15,1,No,No,No,97,39,No,26,19,33,NA,81,54,27,13,5,1,1.7300000190734863,79,12,473,419,No,123,0.22388059701492538,2
36678766037048,E,Muscoy Elementa,Muscoy Elementary,4149,San Bernardino City Unif,627,San Bernardino,35,NA,100,466,439,18,27,Yes,No,No,95,50,No,21,20,31,NA,98,63,26,9,2,0,1.5099999904632568,94,22,479,438,No,125,0.22388059701492538,2
36678766037105,E,Rio Vista Eleme,Rio Vista Elementary,4154,San Bernardino City Unif,627,San Bernardino,35,NA,99,477,473,16,4,No,No,No,91,15,No,29,20,31,NA,63,25,31,25,18,1,2.4000000953674316,78,25,461,408,No,130,0.22388059701492538,2
