"stid","group","year","scale"
1,"C",0,1208
1,"C",1,1387
1,"C",2,1402
2,"T",0,1360
2,"T",1,1387
3,"C",0,1345
4,"C",0,1405
5,"T",0,1454
5,"T",1,1533
6,"T",0,1265
7,"T",0,1375
7,"T",1,1474
7,"T",2,1548
8,"T",2,1500
9,"C",0,1486
9,"C",1,1589
9,"C",2,1611
10,"C",0,1345
11,"C",2,1724
12,"C",0,1675
12,"C",1,1733
12,"C",2,1809
13,"C",2,1688
14,"C",2,1770
15,"C",0,1345
16,"T",0,1375
17,"C",0,1625
18,"T",1,1337
19,"C",1,1474
20,"C",1,1446
20,"C",2,1578
21,"T",1,1371
21,"T",2,1447
22,"C",1,1670
22,"C",2,1809
23,"T",1,1533
24,"C",2,1533
25,"C",1,1621
25,"C",2,1739
26,"T",1,1533
26,"T",2,1625
27,"T",1,1355
28,"C",1,1488
28,"C",2,1476
29,"T",1,1601
30,"T",2,1943
31,"C",2,1500
32,"C",2,1594
33,"C",2,1563
34,"C",2,1724
35,"C",2,1667
36,"C",2,1724
37,"C",2,1402
38,"T",0,1228
38,"T",1,1387
39,"T",0,1314
39,"T",1,1371
40,"C",0,1314
40,"C",1,1503
40,"C",2,1594
41,"C",0,1559
41,"C",1,1643
41,"C",2,1688
42,"C",0,1159
42,"C",1,1299
42,"C",2,1330
43,"C",0,1247
43,"T",2,1385
44,"C",0,1360
44,"C",1,1474
44,"C",2,1647
45,"T",0,1208
45,"T",1,1387
45,"T",2,1625
46,"C",0,1247
46,"C",1,1355
47,"T",0,1454
47,"T",1,1621
48,"C",0,1390
48,"C",1,1533
48,"C",2,1578
49,"C",0,1298
49,"C",1,1474
49,"C",2,1625
50,"C",0,1454
50,"C",1,1518
51,"C",0,1314
51,"C",1,1670
51,"C",2,1578
52,"C",0,1360
52,"C",1,1488
52,"C",2,1594
53,"C",0,1208
53,"C",1,1417
53,"C",2,1500
54,"C",1,1533
55,"C",0,1375
55,"C",1,1621
55,"C",2,1688
56,"C",0,1247
56,"C",1,1589
57,"T",0,1314
57,"T",1,1643
57,"T",2,1724
58,"C",1,1601
58,"C",2,1647
59,"C",0,1421
59,"C",1,1402
60,"C",0,1247
60,"C",1,1371
61,"C",1,1277
62,"T",0,1185
62,"T",1,1417
62,"T",2,1476
63,"T",0,1247
64,"T",0,1247
64,"T",1,1299
64,"T",2,1402
65,"T",0,1228
65,"T",1,1621
66,"T",0,1208
66,"T",1,1319
67,"C",0,1437
67,"C",1,1503
67,"C",2,1625
68,"C",1,1670
68,"C",2,1647
69,"C",0,1437
69,"C",1,1601
69,"C",2,1647
70,"T",2,1490
71,"T",0,1208
72,"T",2,1611
73,"T",0,1228
74,"T",2,1563
75,"C",0,1486
75,"C",1,1782
75,"C",2,1739
76,"C",0,1375
76,"C",1,1488
76,"C",2,1809
77,"C",0,1454
78,"C",0,1228
78,"C",1,1446
78,"C",2,1462
79,"C",0,1330
79,"C",1,1467
80,"C",0,1421
80,"C",1,1503
80,"C",2,1578
81,"C",0,1437
81,"C",1,1565
81,"C",2,1611
82,"C",0,1208
82,"C",1,1319
82,"C",2,1476
83,"T",2,1688
84,"T",2,1283
85,"T",2,1578
86,"T",0,1265
86,"T",1,1518
87,"T",0,1330
87,"T",1,1488
87,"T",2,1625
88,"T",0,1247
88,"T",1,1503
88,"T",2,1578
89,"C",0,1421
89,"C",1,1474
89,"C",2,1476
90,"C",0,1533
90,"C",1,1782
91,"C",0,1454
91,"C",1,1565
92,"C",0,1559
92,"C",1,1782
92,"C",2,2078
93,"C",1,1518
93,"C",2,1647
94,"C",1,1467
95,"T",2,1490
96,"C",0,1421
96,"C",1,1601
96,"C",2,1519
97,"T",0,1298
98,"T",0,1282
98,"T",1,1589
98,"T",2,1739
99,"T",0,1533
99,"T",1,1733
100,"C",0,1596
100,"C",1,1643
100,"C",2,1809
101,"C",0,1511
101,"C",1,1670
101,"C",2,1688
102,"C",0,1486
102,"C",1,1643
103,"C",0,1511
103,"C",1,1503
103,"C",2,1594
104,"C",0,1511
104,"C",1,1670
104,"C",2,1770
105,"C",0,1421
105,"C",1,1503
105,"C",2,1625
106,"C",0,1511
107,"C",0,1330
107,"C",1,1467
108,"C",0,1390
108,"C",1,1467
108,"C",2,1563
109,"C",0,1533
109,"C",1,1621
109,"C",2,1647
110,"C",0,1889
110,"C",1,1782
111,"C",1,1621
112,"T",0,1454
112,"T",1,1621
112,"T",2,1647
113,"T",1,1589
113,"T",2,1860
114,"C",0,1265
115,"C",0,1511
115,"C",1,1621
115,"C",2,1594
116,"T",0,1208
117,"C",0,1330
117,"C",1,1474
117,"C",2,1647
118,"C",1,1565
119,"C",0,1472
119,"C",1,1697
119,"C",2,1739
120,"C",0,1437
120,"C",1,1533
120,"C",2,1594
121,"C",2,1688
122,"T",1,1670
122,"T",2,1943
123,"C",0,1390
123,"C",1,1549
123,"C",2,1578
124,"C",0,1421
124,"C",1,1670
124,"C",2,1594
125,"C",0,1421
125,"C",1,1503
126,"C",0,1314
126,"C",1,1601
126,"C",2,1594
127,"C",0,1405
128,"C",0,1511
128,"C",1,1488
128,"C",2,1647
129,"C",0,1265
130,"C",0,1247
130,"C",1,1337
130,"C",2,1385
131,"T",0,1345
131,"T",1,1518
131,"T",2,1563
132,"C",0,1330
132,"C",1,1601
132,"C",2,1548
133,"C",0,1314
133,"C",1,1518
134,"C",0,1472
134,"C",1,1533
134,"C",2,1724
135,"C",0,1596
135,"C",1,1643
135,"C",2,1724
136,"C",0,1625
136,"C",1,1697
136,"C",2,1724
137,"C",0,1421
138,"C",0,1405
138,"C",1,1503
139,"C",0,1625
139,"C",1,1862
139,"C",2,1943
140,"C",0,1596
140,"C",1,1670
140,"C",2,1625
141,"C",0,1421
141,"C",1,1643
141,"C",2,1688
142,"C",0,1421
142,"C",1,1601
142,"C",2,1594
143,"C",0,1265
143,"C",1,1488
143,"C",2,1548
144,"C",0,1298
144,"C",1,1467
144,"C",2,1578
145,"C",0,1314
146,"C",0,1390
147,"C",0,1405
147,"C",1,1601
147,"C",2,1688
148,"C",0,1596
148,"C",1,1565
148,"C",2,1724
149,"C",0,1375
150,"C",0,1421
150,"C",1,1518
150,"C",2,1594
151,"T",0,1247
151,"T",1,1387
152,"C",2,1533
153,"C",0,1265
153,"C",1,1387
153,"C",2,1500
154,"T",0,1559
154,"T",1,1533
154,"T",2,1770
155,"T",0,1375
155,"T",1,1467
155,"T",2,1739
156,"C",0,1675
156,"C",1,1782
156,"C",2,1943
157,"C",0,1533
157,"C",1,1643
157,"C",2,1578
158,"T",0,1282
158,"T",1,1402
158,"T",2,1625
159,"C",0,1596
159,"C",1,1601
159,"C",2,1770
160,"C",0,1247
160,"C",1,1549
161,"C",0,1472
161,"C",1,1670
161,"C",2,1688
162,"T",0,1375
162,"T",1,1503
162,"T",2,1548
163,"C",0,1511
163,"C",1,1621
163,"C",2,1739
164,"T",0,1533
165,"C",0,1208
166,"T",0,1390
166,"T",1,1417
167,"C",1,1474
168,"T",2,1519
169,"T",1,1474
170,"T",0,1405
170,"T",1,1387
170,"T",2,1667
171,"C",0,1405
171,"C",1,1549
171,"C",2,1724
172,"T",1,1488
173,"T",0,1228
173,"T",1,1355
173,"T",2,1519
174,"C",0,1533
175,"C",0,1486
175,"C",1,1589
176,"T",1,1697
176,"T",2,1724
177,"C",0,1675
177,"C",1,1670
178,"C",0,1421
178,"C",1,1643
179,"T",0,1596
179,"T",1,1697
180,"T",0,1454
180,"T",1,1533
181,"T",0,1228
181,"T",1,1417
181,"T",2,1417
182,"C",0,1511
183,"T",0,1375
183,"T",1,1503
184,"T",0,1675
184,"T",1,1670
185,"C",0,1511
185,"C",1,1533
186,"T",2,1308
187,"C",0,1228
187,"C",1,1417
187,"C",2,1533
188,"T",1,1643
189,"C",0,1375
190,"T",1,1862
190,"T",2,1809
191,"T",0,1345
191,"T",1,1589
191,"T",2,1724
192,"C",0,1375
192,"C",1,1387
192,"C",2,1476
193,"T",2,1548
194,"C",0,1454
194,"C",1,1533
194,"C",2,1578
195,"T",2,1611
196,"C",1,1565
197,"C",0,1454
197,"C",1,1565
197,"C",2,1688
198,"T",0,1390
198,"T",1,1387
199,"C",2,1860
200,"C",0,1405
200,"C",1,1474
200,"C",2,1578
201,"T",0,1298
201,"T",1,1467
201,"T",2,1519
202,"T",0,1472
202,"T",1,1549
203,"C",0,1314
203,"C",1,1371
203,"C",2,1500
204,"T",0,1454
204,"T",1,1467
204,"T",2,1667
205,"T",0,1511
205,"T",1,1670
206,"T",0,1454
206,"T",1,1670
207,"T",0,1390
207,"T",1,1503
208,"T",0,1375
208,"T",1,1387
208,"T",2,1594
209,"T",0,1390
209,"T",1,1474
209,"T",2,1647
210,"T",0,1625
210,"T",1,1643
210,"T",2,1770
211,"T",1,1503
211,"T",2,1625
212,"C",0,1330
212,"C",1,1467
212,"C",2,1462
213,"T",0,1675
213,"T",1,1643
214,"T",0,1298
214,"T",1,1446
215,"C",0,1298
216,"T",0,1559
216,"T",1,1503
217,"T",0,1625
217,"T",1,1589
217,"T",2,1578
218,"T",0,1472
219,"T",2,1667
220,"T",0,1360
220,"T",1,1518
220,"T",2,1667
221,"T",1,1299
221,"T",2,1594
222,"T",0,1454
222,"T",1,1670
223,"T",0,1129
223,"T",1,1299
223,"T",2,1385
224,"C",0,1511
224,"C",1,1533
224,"C",2,1625
225,"C",0,1533
225,"C",1,1697
225,"C",2,1809
226,"C",0,1330
226,"C",1,1621
226,"C",2,1625
227,"T",2,1563
228,"T",0,1511
228,"T",1,1565
229,"T",0,1454
229,"T",1,1565
229,"T",2,1667
230,"T",0,1208
230,"T",1,1549
231,"C",0,1208
231,"C",1,1299
231,"C",2,1308
232,"T",0,1454
232,"T",1,1549
233,"C",0,1437
234,"C",0,1472
234,"C",1,1589
234,"C",2,1667
235,"T",0,1405
235,"T",1,1589
236,"T",0,1345
237,"C",0,1559
237,"C",1,1643
237,"C",2,1688
238,"T",0,1298
239,"T",0,1282
239,"T",1,1387
239,"T",2,1563
240,"C",0,1454
240,"C",1,1503
240,"C",2,1594
241,"C",0,1533
