class,id,order,task_dif,time,score,cal,time_on_task,length_writing,time.,task_motive
1,1,s2c,simple,1,15.84,com_MLTU,29,431,odd,3.4444444444444446
1,1,s2c,simple,1,0.33,com_DC/T,29,431,odd,3.4444444444444446
1,1,s2c,simple,1,1.65,com_CN/T,29,431,odd,3.4444444444444446
1,1,s2c,simple,1,0.5405,com_CN/C,29,431,odd,3.4444444444444446
1,1,s2c,simple,1,0.55,ac_EFC/C,29,431,odd,3.4444444444444446
1,1,s2c,simple,1,63.22,lex_Vocd,29,431,odd,3.4444444444444446
1,1,s2c,simple,1,1.98,lex_WRDFRQmc,29,431,odd,3.4444444444444446
1,1,s2c,complex,2,16.73,com_MLTU,35,396,even,5
1,1,s2c,complex,2,0.85,com_DC/T,35,396,even,5
1,1,s2c,complex,2,1.93,com_CN/T,35,396,even,5
1,1,s2c,complex,2,0.9636,com_CN/C,35,396,even,5
1,1,s2c,complex,2,0.59,ac_EFC/C,35,396,even,5
1,1,s2c,complex,2,63.78,lex_Vocd,35,396,even,5
1,1,s2c,complex,2,1.72,lex_WRDFRQmc,35,396,even,5
1,1,s2c,simple,3,14.87,com_MLTU,31,490,odd,1.777777777777778
1,1,s2c,simple,3,0.76,com_DC/T,31,490,odd,1.777777777777778
1,1,s2c,simple,3,1.83,com_CN/T,31,490,odd,1.777777777777778
1,1,s2c,simple,3,0.9918,com_CN/C,31,490,odd,1.777777777777778
1,1,s2c,simple,3,0.65,ac_EFC/C,31,490,odd,1.777777777777778
1,1,s2c,simple,3,58.93,lex_Vocd,31,490,odd,1.777777777777778
1,1,s2c,simple,3,1.68,lex_WRDFRQmc,31,490,odd,1.777777777777778
1,1,s2c,complex,4,17.65,com_MLTU,34,354,even,3.7777777777777777
1,1,s2c,complex,4,0.59,com_DC/T,34,354,even,3.7777777777777777
1,1,s2c,complex,4,1.89,com_CN/T,34,354,even,3.7777777777777777
1,1,s2c,complex,4,1.1633,com_CN/C,34,354,even,3.7777777777777777
1,1,s2c,complex,4,0.53,ac_EFC/C,34,354,even,3.7777777777777777
1,1,s2c,complex,4,85.92,lex_Vocd,34,354,even,3.7777777777777777
1,1,s2c,complex,4,1.92,lex_WRDFRQmc,34,354,even,3.7777777777777777
1,2,s2c,simple,1,14.69,com_MLTU,34,309,odd,3.5555555555555554
1,2,s2c,simple,1,0.58,com_DC/T,34,309,odd,3.5555555555555554
1,2,s2c,simple,1,1.5714,com_CN/T,34,309,odd,3.5555555555555554
1,2,s2c,simple,1,0.8421,com_CN/C,34,309,odd,3.5555555555555554
1,2,s2c,simple,1,0.61,ac_EFC/C,34,309,odd,3.5555555555555554
1,2,s2c,simple,1,68.92,lex_Vocd,34,309,odd,3.5555555555555554
1,2,s2c,simple,1,1.78,lex_WRDFRQmc,34,309,odd,3.5555555555555554
1,2,s2c,complex,2,14.79,com_MLTU,41,357,even,4.111111111111111
1,2,s2c,complex,2,0.74,com_DC/T,41,357,even,4.111111111111111
1,2,s2c,complex,2,1.79,com_CN/T,41,357,even,4.111111111111111
1,2,s2c,complex,2,1.7073,com_CN/C,41,357,even,4.111111111111111
1,2,s2c,complex,2,0.57,ac_EFC/C,41,357,even,4.111111111111111
1,2,s2c,complex,2,79.06,lex_Vocd,41,357,even,4.111111111111111
1,2,s2c,complex,2,1.86,lex_WRDFRQmc,41,357,even,4.111111111111111
1,2,s2c,simple,3,15.14,com_MLTU,28,352,odd,1.7777777777777777
1,2,s2c,simple,3,0.91,com_DC/T,28,352,odd,1.7777777777777777
1,2,s2c,simple,3,1.79,com_CN/T,28,352,odd,1.7777777777777777
1,2,s2c,simple,3,1.3451,com_CN/C,28,352,odd,1.7777777777777777
1,2,s2c,simple,3,0.64,ac_EFC/C,28,352,odd,1.7777777777777777
1,2,s2c,simple,3,65.47,lex_Vocd,28,352,odd,1.7777777777777777
1,2,s2c,simple,3,1.74,lex_WRDFRQmc,28,352,odd,1.7777777777777777
1,2,s2c,complex,4,16.87,com_MLTU,37,435,even,4
1,2,s2c,complex,4,0.68,com_DC/T,37,435,even,4
1,2,s2c,complex,4,1.92,com_CN/T,37,435,even,4
1,2,s2c,complex,4,1.2105,com_CN/C,37,435,even,4
1,2,s2c,complex,4,0.57,ac_EFC/C,37,435,even,4
1,2,s2c,complex,4,71.14,lex_Vocd,37,435,even,4
1,2,s2c,complex,4,1.77,lex_WRDFRQmc,37,435,even,4
1,3,s2c,simple,1,17.51,com_MLTU,29,424,odd,2.6666666666666665
1,3,s2c,simple,1,0.68,com_DC/T,29,424,odd,2.6666666666666665
1,3,s2c,simple,1,1.75,com_CN/T,29,424,odd,2.6666666666666665
1,3,s2c,simple,1,0.7857,com_CN/C,29,424,odd,2.6666666666666665
1,3,s2c,simple,1,0.58,ac_EFC/C,29,424,odd,2.6666666666666665
1,3,s2c,simple,1,71.36,lex_Vocd,29,424,odd,2.6666666666666665
1,3,s2c,simple,1,1.98,lex_WRDFRQmc,29,424,odd,2.6666666666666665
1,3,s2c,complex,2,16.93,com_MLTU,34,398,even,4.555555555555555
1,3,s2c,complex,2,0.68,com_DC/T,34,398,even,4.555555555555555
1,3,s2c,complex,2,1.98,com_CN/T,34,398,even,4.555555555555555
1,3,s2c,complex,2,0.8602,com_CN/C,34,398,even,4.555555555555555
1,3,s2c,complex,2,0.61,ac_EFC/C,34,398,even,4.555555555555555
1,3,s2c,complex,2,61.83,lex_Vocd,34,398,even,4.555555555555555
1,3,s2c,complex,2,1.69,lex_WRDFRQmc,34,398,even,4.555555555555555
