stid,scid,group,gender,ethnicity,LEPat5,spe.ed,year,spanish,scale,stand
300365,carm,T,Female,Afamerican,NotLEP,No,0,No,1180,Notapproach
300365,carm,T,Female,Afamerican,NotLEP,No,1,No,1277,Notapproach
300365,carm,T,Female,Afamerican,NotLEP,No,2,No,1384,Notapproach
300437,jon,C,Female,Hispanic,LEP,No,0,No,1297,Notapproach
300437,jon,C,Female,Hispanic,LEP,No,1,No,1411,Notapproach
300437,jon,C,Female,Hispanic,LEP,No,2,No,1470,Approaches
300475,jon,C,Female,Hispanic,firstyear,No,0,Yes,1628,Masters
300530,jon,C,Female,Hispanic,LEP,No,0,Yes,1171,Notapproach
300530,jon,C,Female,Hispanic,LEP,No,1,No,1277,Notapproach
300942,carm,T,Male,Hispanic,LEP,No,0,No,1555,Masters
300942,carm,T,Male,Hispanic,LEP,No,1,No,1633,Masters
300942,carm,T,Male,Hispanic,LEP,No,2,No,1736,Masters
301986,caro,T,Female,Hispanic,NotLEP,No,2,No,1370,Notapproach
302723,caro,T,Male,Hispanic,LEP,No,2,No,1547,Approaches
302852,har,C,Male,Afamerican,NotLEP,No,0,No,1455,Approaches
302858,carm,T,Male,Hispanic,LEP,No,0,Yes,1444,Meets
302858,carm,T,Male,Hispanic,LEP,No,1,No,1411,Notapproach
302858,carm,T,Male,Hispanic,LEP,No,2,No,1532,Approaches
302867,har,C,Male,Hispanic,firstyear,No,0,No,1234,Notapproach
302867,har,C,Male,Hispanic,firstyear,No,1,No,1510,Approaches
302867,har,C,Male,Hispanic,firstyear,No,2,No,1517,Approaches
302906,carm,T,Female,Hispanic,LEP,No,0,No,1312,Notapproach
302906,carm,T,Female,Hispanic,LEP,No,1,No,1383,Notapproach
302906,carm,T,Female,Hispanic,LEP,No,2,No,1532,Approaches
302933,carm,T,Female,Hispanic,LEP,No,0,No,1251,Notapproach
302933,carm,T,Female,Hispanic,LEP,No,1,No,1311,Notapproach
302933,carm,T,Female,Hispanic,LEP,No,2,No,1450,Notapproach
302981,har,C,Female,Afamerican,NotLEP,Yes,0,No,1199,Notapproach
303175,bla,T,Male,Hispanic,LEP,No,0,No,1555,Masters
303790,carm,T,Female,Hispanic,LEP,No,0,No,1180,Notapproach
303790,carm,T,Female,Hispanic,LEP,No,1,No,1397,Notapproach
303790,carm,T,Female,Hispanic,LEP,No,2,No,1463,Notapproach
304431,jon,C,Female,Hispanic,secondyear,No,1,No,1383,Notapproach
304431,jon,C,Female,Hispanic,secondyear,No,2,No,1470,Approaches
304592,carm,T,Male,Afamerican,NotLEP,No,0,No,1312,Notapproach
304592,carm,T,Male,Afamerican,NotLEP,No,1,No,1424,Notapproach
304592,carm,T,Male,Afamerican,NotLEP,No,2,No,1503,Approaches
304791,har,C,Female,Hispanic,LEP,No,0,Yes,1229,Notapproach
305137,bla,T,Male,Hispanic,LEP,No,0,Yes,1350,Approaches
305197,jon,C,Female,Hispanic,LEP,No,0,Yes,1688,Masters
305197,jon,C,Female,Hispanic,LEP,No,1,Yes,2054,Masters
305197,jon,C,Female,Hispanic,LEP,No,2,No,1736,Masters
305292,jon,C,Male,Afamerican,NotLEP,No,0,No,1234,Notapproach
305346,caro,T,Female,Hispanic,LEP,No,0,No,1387,Approaches
